Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 01:59:14.250 CEST,9120281,7,0
Thu 2020-05-07 01:59:14.500 CEST,9119097,7,0
Thu 2020-05-07 01:59:14.750 CEST,9120266,7,0
Thu 2020-05-07 01:59:15.0 CEST,9119630,7,0
Thu 2020-05-07 01:59:15.250 CEST,9118556,7,0
Thu 2020-05-07 01:59:15.500 CEST,9119597,7,0
Thu 2020-05-07 01:59:15.750 CEST,9120073,7,0
Thu 2020-05-07 01:59:16.0 CEST,9119779,7,0
Thu 2020-05-07 01:59:16.250 CEST,9119710,7,0
Thu 2020-05-07 01:59:16.500 CEST,9119161,7,0
Thu 2020-05-07 01:59:16.750 CEST,9120182,7,0
Thu 2020-05-07 01:59:17.0 CEST,9119159,7,0
Thu 2020-05-07 01:59:17.250 CEST,9118178,7,0
Thu 2020-05-07 01:59:17.500 CEST,9117285,7,0
Thu 2020-05-07 01:59:17.750 CEST,9116707,7,0
Thu 2020-05-07 01:59:18.0 CEST,9117716,7,0
Thu 2020-05-07 01:59:18.250 CEST,9118160,7,0
Thu 2020-05-07 01:59:18.500 CEST,9119227,7,0
Thu 2020-05-07 01:59:18.750 CEST,9119294,7,0
Thu 2020-05-07 01:59:19.0 CEST,9118563,7,0
Thu 2020-05-07 01:59:19.250 CEST,9117932,7,0
Thu 2020-05-07 01:59:19.500 CEST,9118943,7,0
Thu 2020-05-07 01:59:19.750 CEST,9118335,7,0
Thu 2020-05-07 01:59:20.0 CEST,9118278,7,0
Thu 2020-05-07 01:59:20.250 CEST,9117154,7,0
Thu 2020-05-07 01:59:20.500 CEST,9116928,7,0
Thu 2020-05-07 01:59:20.750 CEST,9117277,7,0
Thu 2020-05-07 01:59:21.0 CEST,9117309,7,0
Thu 2020-05-07 01:59:21.250 CEST,9117784,7,0
Thu 2020-05-07 01:59:21.500 CEST,9117878,7,0
Thu 2020-05-07 01:59:21.750 CEST,9117757,7,0
Thu 2020-05-07 01:59:22.0 CEST,9118062,7,0
Thu 2020-05-07 01:59:22.250 CEST,9118172,7,0
Thu 2020-05-07 01:59:22.500 CEST,9118019,7,0
Thu 2020-05-07 01:59:22.750 CEST,9118452,7,0
Thu 2020-05-07 01:59:23.0 CEST,9118252,7,0
Thu 2020-05-07 01:59:23.250 CEST,9117503,7,0
